hashtags,retweeted,coordinates,content,followers_count,score,location,retweet_count,listed_count,favorited,utc_offset,description,user_mentions,trackback_author_url,geo_enabled,geo,lang,favourites_count,firstpost_date,url,time_zone,place,trackback_author_nick,trackback_permalink
Cholera~UNICEF~Bentiu~SouthSudan,False,None,"RT @UNICEFAfrica: #Cholera prevention: this girl just got vaccinated against it, thanks to #UNICEF. Via @KentPage #Bentiu, #SouthSudan http…",56,6.953254,"Macon, Ga",8,4,False,-10800,Twitter of the Mercer University's very own chapter of Building Tomorrow.,UNICEFAfrica~KentPage,http://twitter.com/btmercer,True,None,en,18,06/01/14,http://twitter.com/btmercer/status/473119827625013248,Atlantic Time (Canada),None,btmercer,http://twitter.com/BTMercer/status/473119827625013248
Cholera~UNICEF~Bentiu~SouthSudan,False,None,"RT @UNICEFAfrica: #Cholera prevention: this girl just got vaccinated against it, thanks to #UNICEF. Via @KentPage #Bentiu, #SouthSudan http…",3048,6.953254,,8,15,False,7200,Réaliste sans vergogne ● Stay Alert To Stay Alive ●  25/04/2012 • RIP MUM ♥,UNICEFAfrica~KentPage,http://twitter.com/musadiqz,True,None,en,11,06/01/14,http://twitter.com/musadiqz/status/473120257516003328,Amsterdam,None,musadiqz,http://twitter.com/MusadiqZ/status/473120257516003328
Cholera~UNICEF~Bentiu~SouthSudan,False,None,"RT @UNICEFAfrica: #Cholera prevention: this girl just got vaccinated against it, thanks to #UNICEF. Via @KentPage #Bentiu, #SouthSudan http…",147,6.953254,"Rome, Italy",8,3,False,7200,,UNICEFAfrica~KentPage,http://twitter.com/taniazaynab,False,None,en,24,06/01/14,http://twitter.com/taniazaynab/status/473121268166696961,Rome,None,taniazaynab,http://twitter.com/taniazaynab/status/473121268166696961
MSF~cholera~SouthSudan,False,None,@rtenews photo gallery on #MSF's response to the serious #cholera oubreak in Juba #SouthSudan   http://t.co/Xtd6FfO58T,230,8.534947,South Sudan,2,13,False,10800,"MSF runs 22 projects in 9/10 South Sudan states, providing vital healthcare, nutrition support, surgery, vaccinations, + water & sanitation. Photo:Robin Meldrum",rtenews,http://twitter.com/msf_southsudan,False,None,en-gb,9,06/01/14,http://twitter.com/msf_southsudan/status/473128065992642560,Baghdad,None,msf_southsudan,http://twitter.com/MSF_SouthSudan/status/473128065992642560
man~cholera~diarrhoea~Exam~revision~university,False,None,Wanted to tell my #man how the #cholera toxin causes #diarrhoea. Don't know that does he really appreciate that. #Exam #revision #university,70,7.1843505,Brighton & Hove,0,2,False,-7200,"Cell- and molecular M.Sc. student, paintballer, Finn. Enthusiastic about microbiology, exercising, music, truth and languages.",,http://twitter.com/imperiabaccus,False,None,en,27,06/01/14,http://twitter.com/imperiabaccus/status/473138254657908736,Greenland,None,imperiabaccus,http://twitter.com/ImperiaBaccus/status/473138254657908736
cholera,False,None,Dr. Carroll on clean water and common sense in Haiti #cholera http://t.co/h0YfHATMbq,2507,12.447707,North Vancouver BC,2,154,False,-25200,"Retired college teacher and persistent writer (journalism, science fiction, fantasy, regional history, education). Also blogging on a range of subjects.",,http://twitter.com/crof,False,None,en,17,06/01/14,http://twitter.com/crof/status/473142641341644800,Pacific Time (US & Canada),None,crof,http://twitter.com/Crof/status/473142641341644800
cholera~Haiti,False,None,The fight for reparations from @UN for intro of #cholera to #Haiti -- case background in @ForeignAffairs : http://t.co/hVFN74n5ME…,2243,9.543953,"USA, Haiti",9,42,False,None,"Trainer. Developer. Tweet on Haiti, Leadership, Business and Social Media.  My tweets are repeated 4 times to reach all timezones.",UN~ForeignAffairs,http://twitter.com/dbienaime,False,None,en,1769,06/01/14,http://twitter.com/dbienaime/status/473149554909802496,None,None,dbienaime,http://twitter.com/dbienaime/status/473149554909802496
cholera~Haiti,False,None,RT @dbienaime: The fight for reparations from @UN for intro of #cholera to #Haiti -- case background in @ForeignAffairs : http://t.co/hVFN7…,479,6.699423,"Kingston, Jamaica",9,7,False,-14400,Broadcaster | PR Practitioner | Communicator | Social Media Admin | Toastmaster | Health Nut | Foodie | Grad Student |,dbienaime~UN~ForeignAffairs,http://twitter.com/kevtothec,False,None,en,724,06/01/14,http://twitter.com/kevtothec/status/473149650501783552,Eastern Time (US & Canada),None,kevtothec,http://twitter.com/kevtothec/status/473149650501783552
cholera,False,None,Cholera outbreak in South Sudan - update from WHO http://t.co/lDHHoKz1HQ #cholera,4062,12.596006,Institut Pasteur,5,118,False,-25200,"Microbes and Infection publishes articles in all fields of infection and immunity, covering the different levels of host-microbe interactions.",,http://twitter.com/microbesinfect,False,None,en,368,06/01/14,http://twitter.com/microbesinfect/status/473149699721945088,Pacific Time (US & Canada),None,microbesinfect,http://twitter.com/MicrobesInfect/status/473149699721945088
Epicentre~Shanchol~cholera,False,None,Pilot study on using an oral cholera vaccine as an outbreak intervention: http://t.co/XN1z5VBe2h #Epicentre #Shanchol #cholera,27,7.1127443,,0,0,False,None,Microbiology PhD student saving the world from bacterial diseases!,,http://twitter.com/rcitorik,True,None,en,42,06/01/14,http://twitter.com/rcitorik/status/473150032586084352,None,None,rcitorik,http://twitter.com/rcitorik/status/473150032586084352
cholera,False,None,RT @MicrobesInfect: Cholera outbreak in South Sudan - update from WHO http://t.co/lDHHoKz1HQ #cholera,684,7.237704,Leeds,5,14,False,0,"Gooner, Views are my own",MicrobesInfect,http://twitter.com/pollygary,True,None,en,720,06/01/14,http://twitter.com/pollygary/status/473165082101559297,Casablanca,None,pollygary,http://twitter.com/pollygary/status/473165082101559297
SouthSudan~malnutrition~cholera~measles,False,None,Triple threat to #SouthSudan children: #malnutrition #cholera #measles. We're working to vaccinate &amp; treat. @kentpage http://t.co/8WZMSa6YlK,6328,8.513105,Benicàssim i Formentera Spain,5,69,False,None,"Freelance Producer Arts Events. Financial Advisor. Ecologic Activist. Creatiu de Arts Plàstiques, fotografia música. Patró de Iot. Please Followers + 18.",KentPage,http://twitter.com/lluisahicart,False,None,es,1209,06/01/14,http://twitter.com/lluisahicart/status/473165748719071232,None,None,lluisahicart,http://twitter.com/lluisahicart/status/473165748719071232
cholera~Haiti,False,None,RT @dbienaime: The fight for reparations from @UN for intro of #cholera to #Haiti -- case background in @ForeignAffairs : http://t.co/hVFN7…,151,6.699423,,9,4,False,-10800,"Minister, Writer, Employed in Medical Education.  Love the people and land of Haiti.  Political, Current Affairs Junkie.",dbienaime~UN~ForeignAffairs,http://twitter.com/susan_a_rogers,False,None,en,909,06/01/14,http://twitter.com/susan_a_rogers/status/473166283765448705,Atlantic Time (Canada),None,susan_a_rogers,http://twitter.com/Susan_A_Rogers/status/473166283765448705
SouthSudan~malnutrition~cholera~measles,False,None,RT @lluisahicart: Triple threat to #SouthSudan children: #malnutrition #cholera #measles. We're working to vaccinate &amp; treat. @kentpage htt…,1251,6.6824856,Chicago IL,5,12,False,None,Looks to be interesting times ahead...,lluisahicart~KentPage,http://twitter.com/jonell_smith,True,None,en,137,06/01/14,http://twitter.com/jonell_smith/status/473180601021759488,None,None,jonell_smith,http://twitter.com/JoNell_Smith/status/473180601021759488
SouthSudan~malnutrition~cholera~measles,False,None,RT @lluisahicart: Triple threat to #SouthSudan children: #malnutrition #cholera #measles. We're working to vaccinate &amp; treat. @kentpage htt…,1905,6.6824856,,5,57,False,None,,lluisahicart~KentPage,http://twitter.com/mfl1956,True,None,en,18504,06/01/14,http://twitter.com/mfl1956/status/473196271927558144,None,None,mfl1956,http://twitter.com/MFL1956/status/473196271927558144
cholera,False,None,RT @MicrobesInfect: Cholera outbreak in South Sudan - update from WHO http://t.co/lDHHoKz1HQ #cholera,2057,10.528519,,5,90,False,-14400,"A microbiologist & former Pharma Exec now freelancing as a medical writer, training program designer and facilitator located in South Florida.",MicrobesInfect,http://twitter.com/scopedbylarry,True,None,en,75,06/01/14,http://twitter.com/scopedbylarry/status/473196347278262272,Eastern Time (US & Canada),None,scopedbylarry,http://twitter.com/scopedbylarry/status/473196347278262272
SouthSudan~cholera,False,None,"A girl in Bentiu, #SouthSudan shows off her #cholera vaccine certificate http://t.co/XFuoctioN8",2894325,14.26193,United Nations,328,20620,False,-14400,"UNICEF promotes the rights and wellbeing of every child in 190 countries and territories, with a special focus on reaching those in greatest need.",,http://twitter.com/unicef,True,None,en,255,06/01/14,http://twitter.com/unicef/status/473197795986665472,Eastern Time (US & Canada),None,unicef,http://twitter.com/UNICEF/status/473197795986665472
SouthSudan~cholera,False,None,"RT @UNICEF: A girl in Bentiu, #SouthSudan shows off her #cholera vaccine certificate http://t.co/XFuoctioN8",315,7.3404684,,328,4,False,7200,Au sein de barakacity. Pour que mon passage sur terre est servi au minimum à sauver une vie. .Baraka ´Allah oufikoum à toutes celles et ceux qui me suivent.,UNICEF,http://twitter.com/leinesnol,False,None,fr,8207,06/01/14,http://twitter.com/leinesnol/status/473197848511918081,Amsterdam,None,leinesnol,http://twitter.com/LeinesNol/status/473197848511918081
SouthSudan~cholera,False,None,"RT @UNICEF: A girl in Bentiu, #SouthSudan shows off her #cholera vaccine certificate http://t.co/XFuoctioN8",702,7.3404684,,328,3,False,7200,ITALY IS LOUDER! (R5 FOLLOWED ME ON 12th MARCH 2014*.*),UNICEF,http://twitter.com/mar5maria,True,None,it,4188,06/01/14,http://twitter.com/mar5maria/status/473197863137476608,Amsterdam,None,mar5maria,http://twitter.com/Mar5Maria/status/473197863137476608
SouthSudan~cholera,False,None,"RT @UNICEF: A girl in Bentiu, #SouthSudan shows off her #cholera vaccine certificate http://t.co/XFuoctioN8",525,7.3404684,Paris / NYC,328,6,False,None,"Media, Arts, Travel, Food & Fashion",UNICEF,http://twitter.com/oliviamg26,False,None,en,1666,06/01/14,http://twitter.com/oliviamg26/status/473197893470662656,None,None,oliviamg26,http://twitter.com/oliviamg26/status/473197893470662656
SouthSudan~cholera,False,None,"RT @UNICEF: A girl in Bentiu, #SouthSudan shows off her #cholera vaccine certificate http://t.co/XFuoctioN8",158,7.3404684,,328,0,False,-10800,"When I think of all the books still left for me to read, I am certain of further happiness // Connosieur of literature, art & wine",UNICEF,http://twitter.com/jl_new92,True,None,en,2951,06/01/14,http://twitter.com/jl_new92/status/473197902706528258,Atlantic Time (Canada),None,jl_new92,http://twitter.com/jl_new92/status/473197902706528258
SouthSudan~cholera,False,None,"RT @UNICEF: A girl in Bentiu, #SouthSudan shows off her #cholera vaccine certificate http://t.co/XFuoctioN8",2310,7.3404684,U. A. E,328,3,False,14400,"‏‏‏((الفتنة , اشدّ من القتل))",UNICEF,http://twitter.com/alkaabi132,True,None,en,22,06/01/14,http://twitter.com/alkaabi132/status/473197935329435648,Abu Dhabi,None,alkaabi132,http://twitter.com/Alkaabi132/status/473197935329435648
SouthSudan~cholera,False,None,"RT @UNICEF: A girl in Bentiu, #SouthSudan shows off her #cholera vaccine certificate http://t.co/XFuoctioN8",1652,7.3404684,earth ,328,2,False,7200,"no dependas de nadie en este mundo, porque hasta tu sombra te abandona cuando estás en la oscuridad",UNICEF,http://twitter.com/xaaabi_,True,None,es,29699,06/01/14,http://twitter.com/xaaabi_/status/473197950282522624,Madrid,None,xaaabi_,http://twitter.com/xaaabi_/status/473197950282522624
SouthSudan~cholera,False,None,"RT @UNICEF: A girl in Bentiu, #SouthSudan shows off her #cholera vaccine certificate http://t.co/XFuoctioN8",538,7.3404684,BASEDWORLD,328,3,False,-18000,I LIKE BUGS & DINOSAURS AND I NO @LILBTHEBASEDGOD GO FOLLOW HIM HE'S MY FRIEND,UNICEF,http://twitter.com/lilbpositive,True,None,en,1188,06/01/14,http://twitter.com/lilbpositive/status/473197965251575808,Central Time (US & Canada),None,lilbpositive,http://twitter.com/LILBPOSITIVE/status/473197965251575808
SouthSudan~cholera,False,None,"RT @UNICEF: A girl in Bentiu, #SouthSudan shows off her #cholera vaccine certificate http://t.co/XFuoctioN8",79,7.3404684,,328,0,False,None,,UNICEF,http://twitter.com/dianamalah,False,None,es,5108,06/01/14,http://twitter.com/dianamalah/status/473197977268682753,None,None,dianamalah,http://twitter.com/dianamalah/status/473197977268682753
SouthSudan~cholera,False,None,"RT @UNICEF: A girl in Bentiu, #SouthSudan shows off her #cholera vaccine certificate http://t.co/XFuoctioN8",600,7.3404684,Entre Vigo y Madrid,328,2,False,10800,"I don't care if you're black,white,straight,bisexual,gay,short,tall,fat,skinny,rich or poor.If you're nice to me,i'll be nice to you.Simple as that.-Nepal-",UNICEF,http://twitter.com/sangita_soto,True,None,en,3046,06/01/14,http://twitter.com/sangita_soto/status/473198000068902912,Athens,None,sangita_soto,http://twitter.com/sangita_soto/status/473198000068902912
SouthSudan~cholera,False,None,"RT @UNICEF: A girl in Bentiu, #SouthSudan shows off her #cholera vaccine certificate http://t.co/XFuoctioN8",255,7.3404684,Amman | Arizona,328,0,False,None,UofA'17,UNICEF,http://twitter.com/farah_kilani,False,None,en,4153,06/01/14,http://twitter.com/farah_kilani/status/473198004699004928,None,None,farah_kilani,http://twitter.com/farah_kilani/status/473198004699004928
SouthSudan~cholera,False,None,"RT @UNICEF: A girl in Bentiu, #SouthSudan shows off her #cholera vaccine certificate http://t.co/XFuoctioN8",694,7.3404684,,328,13,False,3600,"...when you look into the abyss, the abyss looks into you...",UNICEF,http://twitter.com/dejavousagain,False,None,en,336,06/01/14,http://twitter.com/dejavousagain/status/473198014472126465,London,None,dejavousagain,http://twitter.com/dejavousagain/status/473198014472126465
SouthSudan~cholera,False,None,"RT @UNICEF: A girl in Bentiu, #SouthSudan shows off her #cholera vaccine certificate http://t.co/XFuoctioN8",439,7.3404684,colombia,328,0,False,-14400,"no es la apariencia, es la esencia. No es el dinero, es la educación, No es la ropa es la clase. Coco Chanel",UNICEF,http://twitter.com/mayideve,False,None,es,86,06/01/14,http://twitter.com/mayideve/status/473198033073475586,Eastern Time (US & Canada),None,mayideve,http://twitter.com/mayideve/status/473198033073475586
SouthSudan~cholera,False,None,"RT @UNICEF: A girl in Bentiu, #SouthSudan shows off her #cholera vaccine certificate http://t.co/XFuoctioN8",145,7.3404684,India,328,5,False,None,"Yes, I can... ALL THINGS, I can through God! ♥️Surgeon ♥️Clinique Happy defines me! ❤️31.8186° N, 75.2028° E",UNICEF,http://twitter.com/rum_n_raisins,False,None,en,2470,06/01/14,http://twitter.com/rum_n_raisins/status/473198072034381824,None,None,rum_n_raisins,http://twitter.com/rum_n_raisins/status/473198072034381824
SouthSudan~cholera,False,None,"Que bien--&gt;&gt;&gt;  ""@UNICEF: A girl in Bentiu, #SouthSudan shows off her #cholera vaccine certificate http://t.co/7Uc0wvdtAq""",248,7.1313477,,0,0,False,-16200,"Mujer-amiga-esposa y madre; Amante de la libertad y el respeto, apasionada por el baile y eterna seguidora de sueños para hacerlos realidad... Nunca por vencida",UNICEF,http://twitter.com/deyaniramontiel,False,None,es,125,06/01/14,http://twitter.com/deyaniramontiel/status/473198583236558848,Caracas,None,deyaniramontiel,http://twitter.com/Deyaniramontiel/status/473198583236558848
SouthSudan~cholera,False,None,"A girl in Bentiu, #SouthSudan shows off her #cholera vaccine certificate http://t.co/s3mUW1c3W0",1343,7.4863114,Jersey Girl,0,19,False,-14400,"Mom, Educator, lover of music My mission in life is to promote wellness, spiritual, mental and emotional wellness and to be well people need to stay connected",,http://twitter.com/robinmcouch,True,None,en,506,06/01/14,http://twitter.com/robinmcouch/status/473198695715209216,Eastern Time (US & Canada),None,robinmcouch,http://twitter.com/RobinMCouch/status/473198695715209216
cholera,False,None,RT @MicrobesInfect: Cholera outbreak in South Sudan - update from WHO http://t.co/lDHHoKz1HQ #cholera,2500,7.237704,"Geelong, Victoria, Australia",5,114,False,None,"Medical Researcher, Microbiologist, Lecturer, Mother, Science Communicator, Feminist. Crowd funding Science. Tweets are often the remarks of a hoyden.",MicrobesInfect,http://twitter.com/dr_mel_thomson,True,None,en,16132,06/01/14,http://twitter.com/dr_mel_thomson/status/473198724412227585,None,None,dr_mel_thomson,http://twitter.com/Dr_Mel_Thomson/status/473198724412227585
SouthSudan~cholera,False,None,"A girl in Bentiu, #SouthSudan shows off her #cholera vaccine certificate http://t.co/f7fXozWkSE""",156,7.480359,Nigeria,0,1,False,None,Anyone who RUNS around trying to RUN me down will RUNaway in the long RUN because I RUN things with the one who RUNS the universe ♥☺GOD☺♥,,http://twitter.com/angeld12345,False,None,en,38,06/01/14,http://twitter.com/angeld12345/status/473199154458820610,None,None,angeld12345,http://twitter.com/angeld12345/status/473199154458820610
SouthSudan~cholera,False,None,"“@UNICEF: A girl in Bentiu, #SouthSudan shows off her #cholera vaccine certificate http://t.co/Lt0KV5ue8L” @tafsiri this makes me happy :)",644,10.885064,Cambridge (USA),1,49,False,-18000,"Works at @IBMResearch with @wernergeyer. Loves: Lincoln (the dog), animals, dessert, tech/design, & British accents (in that order). Also tumbls.",UNICEF~tafsiri,http://twitter.com/casey_dugan,False,None,en,4805,06/01/14,http://twitter.com/casey_dugan/status/473199587965272065,Central Time (US & Canada),None,casey_dugan,http://twitter.com/casey_dugan/status/473199587965272065
SouthSudan~cholera,False,None,"RT @casey_dugan: “@UNICEF: A girl in Bentiu, #SouthSudan shows off her #cholera vaccine certificate http://t.co/Lt0KV5ue8L” @tafsiri this m…",1020,9.95254,Columbus,1,57,False,-14400,"Design, research, code, music, Columbus, and unsweet ice tea.",casey_dugan~UNICEF~tafsiri,http://twitter.com/th0ma5,False,None,en,34066,06/01/14,http://twitter.com/th0ma5/status/473200558393028608,Eastern Time (US & Canada),None,th0ma5,http://twitter.com/th0ma5/status/473200558393028608
SouthSudan~cholera,False,None,@UNICEF #SouthSudan #cholera Thanx UNICEF; almost like a Graduation Certificate;  Precious 2 see her face; We regard as Norm and They can't!,107,7.2870336,"Cape Town, South Africa",0,1,False,None,Experienced BAD life; saved by Grace of God! Live Life Not Perfect; but as Best! Do not Judge!,UNICEF,http://twitter.com/michell4god,True,None,en,27,06/01/14,http://twitter.com/michell4god/status/473200842586460161,None,None,michell4god,http://twitter.com/michell4God/status/473200842586460161
SouthSudan~cholera,False,"{u'type': u'Point', u'coordinates': [-57.6015653, -25.3118858]}","""@UNICEF: A girl in Bentiu, #SouthSudan shows off her #cholera vaccine certificate http://t.co/wBLr0uTkth""",6757,7.4283686,Asunción - Paraguay,0,161,False,-10800,"I'm a single woman ex professional model & I love Rock Music, a big fan of DJ Ashba, Glenn Hughes, I Know It's only Rock & Roll but I like it",UNICEF,http://twitter.com/nildadaher,True,"{u'type': u'Point', u'coordinates': [-25.3118858, -57.6015653]}",es,31462,06/01/14,http://twitter.com/nildadaher/status/473201677152288768,Buenos Aires,"{u'country_code': u'PY', u'url': u'https://api.twitter.com/1.1/geo/id/6cf2fd60a82329fc.json', u'country': u'Paraguay', u'place_type': u'country', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-62.6503572189999, -27.586842143], [-54.2452888589999, -27.586842143], [-54.2452888589999, -19.286728617], [-62.6503572189999, -19.286728617]]]}, u'contained_within': [], u'full_name': u'Paraguay', u'attributes': {}, u'id': u'6cf2fd60a82329fc', u'name': u'Paraguay'}",nildadaher,http://twitter.com/NildaDaher/status/473201677152288768
goodnews~SouthSudan~cholera,False,None,"Yay! #goodnews RT @UNICEF: A girl in Bentiu, #SouthSudan shows off her #cholera vaccine certificate http://t.co/2J2TawVDg0",76,7.2901983,"Murten, Switzerland",0,2,False,7200,"Student by day, Runner and First Responder by night. Tweets in multiple languages, mostly english, german or french.",UNICEF,http://twitter.com/katjapialocher,True,None,de,2745,06/01/14,http://twitter.com/katjapialocher/status/473201844530208768,Bern,None,katjapialocher,http://twitter.com/KatjaPiaLocher/status/473201844530208768
SouthSudan~cholera,False,None,"""@UNICEF: A girl in Bentiu, #SouthSudan shows off her #cholera vaccine certificate http://t.co/3r6adWPpaC""",515,7.3986516,8,0,2,False,-25200,"If I don't believe in my self. Then, who will?",UNICEF,http://twitter.com/annisa_ainaya,True,None,en,42,06/01/14,http://twitter.com/annisa_ainaya/status/473203655747698688,Pacific Time (US & Canada),None,annisa_ainaya,http://twitter.com/annisa_ainaya/status/473203655747698688
cholera,False,None,RT @MicrobesInfect: Cholera outbreak in South Sudan - update from WHO http://t.co/lDHHoKz1HQ #cholera,232,7.237704,,5,14,False,None,Vaccine delivery team at Bill & Melinda Gates Foundation; rotavirus & cholera cause too many deaths! Mother of 2 great gals; tweets are my own,MicrobesInfect,http://twitter.com/helenmatzger,False,None,en,19,06/01/14,http://twitter.com/helenmatzger/status/473204930740637698,None,None,helenmatzger,http://twitter.com/HelenMatzger/status/473204930740637698
MSF~cholera~SouthSudan,False,None,RT @MSF_SouthSudan: @rtenews photo gallery on #MSF's response to the serious #cholera oubreak in Juba #SouthSudan   http://t.co/Xtd6FfO58T,410,6.9953136,London,2,10,False,7200,"Adviser on Humanitarian Issues with Médecins sans Frontières @msf_uk. Special interests include Beirut, Jerusalem, & Venezuela. RT = hmm interesting",MSF_SouthSudan~rtenews,http://twitter.com/sandrinetiller,False,None,en,56,06/01/14,http://twitter.com/sandrinetiller/status/473210052577619968,Amsterdam,None,sandrinetiller,http://twitter.com/sandrinetiller/status/473210052577619968
SouthSudan~cholera,False,None,"RT @UNICEF: A girl in Bentiu, #SouthSudan shows off her #cholera vaccine certificate http://t.co/xYwNfiZs7a",53,7.331301,"Stockholm, Sweden. ",0,1,False,7200,Architect Student... /Taste the Art...,UNICEF,http://twitter.com/ayaayo92,True,None,en,19,06/01/14,http://twitter.com/ayaayo92/status/473220730013102080,Stockholm,None,ayaayo92,http://twitter.com/ayaayo92/status/473220730013102080
Haiti~health~cholera,False,None,Clean hands save lives. Our #Haiti team busy supporting this community #health event today. #cholera @ticivil http://t.co/QvINVO47Mm,15893,13.095724,Worldwide,8,795,False,-14400,"We are a nonprofit emergency response & global health organization. Since 1982, we have provided $11 billion in medical and humanitarian aid to 164 countries.",ticivil,http://twitter.com/americares,False,None,en,7590,06/01/14,http://twitter.com/americares/status/473245846495313921,Eastern Time (US & Canada),None,americares,http://twitter.com/AmeriCares/status/473245846495313921
Haiti~health~cholera,False,None,RT @AmeriCares: Clean hands save lives. Our #Haiti team busy supporting this community #health event today. #cholera @ticivil http://t.co/Q…,3111,10.562006,CA,8,305,False,-25200,I've determined the D & R parties are working toward the same goal of Corporatocracy. I'm Pro Labor and Anti-War/ProPalestine and Anti-Occupation,AmeriCares~ticivil,http://twitter.com/mirandacan,False,None,en,748,06/01/14,http://twitter.com/mirandacan/status/473246578849755136,Pacific Time (US & Canada),None,mirandacan,http://twitter.com/Mirandacan/status/473246578849755136
