hashtags,retweeted,coordinates,content,followers_count,score,location,retweet_count,listed_count,favorited,utc_offset,description,user_mentions,trackback_author_url,geo_enabled,geo,lang,favourites_count,firstpost_date,url,time_zone,place,trackback_author_nick,trackback_permalink
RareDiseaseDay~doctors20,False,None,"""@mvennitti: Read #RareDiseaseDay ▸  todays top stories via @CrowdfundCentre @alanROYGBIV @findacure_fdn http://t.co/JvS9Kv1euE"" #doctors20",2010,11.226738,Llanboidy  West Wales,1,65,False,-36000,"ACTIVE Wheelchair user
Retire due to ill health (Ataxia, Rare Neurological condition) PASSIONATE about Inclusion for disabled citizens - views are mine",mvennitti~CrowdfundCentre~alanROYGBIV~findacure_fdn,http://twitter.com/alanroygbiv,False,None,en,57,06/03/14,http://twitter.com/alanroygbiv/status/473914822338568192,Hawaii,None,alanroygbiv,http://twitter.com/alanROYGBIV/status/473914822338568192
RareDiseaseDay~doctors20,False,None,"RT @alanROYGBIV: ""@mvennitti: Read #RareDiseaseDay ▸  todays top stories via @CrowdfundCentre @alanROYGBIV @findacure_fdn http://t.co/JvS9K…",2365,7.231549,,1,69,False,3600,"Real time data driven insights & tools for crowdfunding project owners, backers, platforms, investors & analysts. Crowd Data Center daily/weekly charts & news",alanROYGBIV~mvennitti~CrowdfundCentre~alanROYGBIV~findacure_fdn,http://twitter.com/crowdfundcentre,False,None,en,130,06/03/14,http://twitter.com/crowdfundcentre/status/473918061964435456,London,None,crowdfundcentre,http://twitter.com/CrowdfundCentre/status/473918061964435456
RareDiseaseDay,False,None,Read #RareDiseaseDay From @SeqComplete ▸  todays top stories via @alanROYGBIV @findacure_fdn @CrowdfundCentre http://t.co/dOWpIRyAK4,1214,11.565461,"New York, NY",2,39,False,-14400,"Providing competitive intelligence, consulting services, news, & Internet buzz on global #OrphanDrug, #RareDisease, & #BTD developments.",SeqComplete~alanROYGBIV~findacure_fdn~CrowdfundCentre,http://twitter.com/orphandruganau,False,None,en,587,06/04/14,http://twitter.com/orphandruganau/status/473992133754380288,Eastern Time (US & Canada),None,orphandruganau,http://twitter.com/orphandruganau/status/473992133754380288
RareDiseaseDay,False,None,Read #RareDiseaseDay From @SeqComplete  http://t.co/dOWpIRyAK4,1214,8.328826,"New York, NY",0,39,False,-14400,"Providing competitive intelligence, consulting services, news, & Internet buzz on global #OrphanDrug, #RareDisease, & #BTD developments.",SeqComplete,http://twitter.com/orphandruganau,False,None,en,587,06/04/14,http://twitter.com/orphandruganau/status/473993955143467009,Eastern Time (US & Canada),None,orphandruganau,http://twitter.com/orphandruganau/status/473993955143467009
RareDiseaseDay,False,None,RT @orphandruganau: Read #RareDiseaseDay From @SeqComplete ▸  todays top stories via @alanROYGBIV @findacure_fdn @CrowdfundCentre http://t.…,2010,10.315254,Llanboidy  West Wales,2,65,False,-36000,"ACTIVE Wheelchair user
Retire due to ill health (Ataxia, Rare Neurological condition) PASSIONATE about Inclusion for disabled citizens - views are mine",orphandruganau~SeqComplete~alanROYGBIV~findacure_fdn~CrowdfundCentre,http://twitter.com/alanroygbiv,False,None,en,57,06/04/14,http://twitter.com/alanroygbiv/status/474056479553908736,Hawaii,None,alanroygbiv,http://twitter.com/alanROYGBIV/status/474056479553908736
RareDiseaseDay~RareDisease,False,None,#RareDiseaseDay #RareDisease on Twe http://t.co/3dEtu2lsPw,681,8.332927,,0,30,False,7200,,,http://twitter.com/seqcomplete,False,None,en,44,06/04/14,http://twitter.com/seqcomplete/status/474083131633729536,Ljubljana,None,seqcomplete,http://twitter.com/SeqComplete/status/474083131633729536
RareDiseaseDay,False,None,#RareDiseaseDay is out! http://t.co/t9tpbWUPg3 Stories via @CF_Peel @danniki @advocacyrss,681,8.523579,,1,30,False,7200,,CF_Peel~danniki~advocacyrss,http://twitter.com/seqcomplete,False,None,en,44,06/04/14,http://twitter.com/seqcomplete/status/474094632062967808,Ljubljana,None,seqcomplete,http://twitter.com/SeqComplete/status/474094632062967808
RareDiseaseDay,False,None,RT @orphandruganau: Read #RareDiseaseDay From @SeqComplete ▸  todays top stories via @alanROYGBIV @findacure_fdn @CrowdfundCentre http://t.…,629,7.135031,,2,21,False,3600,"Findacure is a charity that raises awareness & supports research into rare diseases, which also provide scientific insight into more common diseases.",orphandruganau~SeqComplete~alanROYGBIV~findacure_fdn~CrowdfundCentre,http://twitter.com/findacure_fdn,True,None,en,578,06/04/14,http://twitter.com/findacure_fdn/status/474100531460595712,London,None,findacure_fdn,http://twitter.com/findacure_fdn/status/474100531460595712
RareDiseaseDay,False,None,Read #RareDiseaseDay From @SeqComplete ▸  todays top stories via @RadiologyGamuts @NPCFund @bastakif http://t.co/dOWpIRyAK4,1214,11.321347,"New York, NY",1,39,False,-14400,"Providing competitive intelligence, consulting services, news, & Internet buzz on global #OrphanDrug, #RareDisease, & #BTD developments.",SeqComplete~RadiologyGamuts~NPCFund~bastakif,http://twitter.com/orphandruganau,False,None,en,587,06/04/14,http://twitter.com/orphandruganau/status/474143693662736384,Eastern Time (US & Canada),None,orphandruganau,http://twitter.com/orphandruganau/status/474143693662736384
RareDiseaseDay,False,None,RT @orphandruganau: Read #RareDiseaseDay From @SeqComplete ▸  todays top stories via @RadiologyGamuts @NPCFund @bastakif http://t.co/dOWpIR…,2010,10.483858,Llanboidy  West Wales,1,65,False,-36000,"ACTIVE Wheelchair user
Retire due to ill health (Ataxia, Rare Neurological condition) PASSIONATE about Inclusion for disabled citizens - views are mine",orphandruganau~SeqComplete~RadiologyGamuts~NPCFund~bastakif,http://twitter.com/alanroygbiv,False,None,en,57,06/04/14,http://twitter.com/alanroygbiv/status/474144348087808000,Hawaii,None,alanroygbiv,http://twitter.com/alanROYGBIV/status/474144348087808000
